N,5000,50000,100000,150000,200000
RWayTrieMap,5345605.2,2.72315008E7,2.7616854E7,3.61555784E7,5.0493016E7
ArrayMap,1.61869534E7,8.67916744E7,1.3855284E8,2.18254618E8,2.939839084E8
RandomizedTreeMap,7106514.4,3.13013214E7,5.10566738E7,7.134232E7,9.55690152E7
